id,comment,expected_label,expected_reason,category,subcategory,tags,note
46,این بی‌کفایتی مدیریتی کشور را زمین‌گیر کرده.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
47,گرانی حکومتی شده، نه تصادفی.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
48,وضعیت معیشتی مردم بحرانی است.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
49,سیاست خارجی کشور سفره ما را کوچک کرده.,disapproval,سياسي,political,governance,political|governance,کامنت سیاسی خنثی تا منفی
50,این همه وعده برای کنترل تورم پوچ بود.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
51,مرگ بر دیکتاتور,disapproval,سياسي,political,slogan,political|slogan,کامنت سیاسی خنثی تا منفی
52,آزادی آزادی آزادی,disapproval,سياسي,political,slogan,political|slogan,کامنت سیاسی خنثی تا منفی
53,زن زندگی آزادی، همین.,disapproval,سياسي,political,slogan,political|slogan,کامنت سیاسی خنثی تا منفی
54,نه به گرانی سازمان‌یافته,disapproval,سياسي,political,slogan,political|slogan,کامنت سیاسی خنثی تا منفی
55,مرگ بر بی‌کفایتی,disapproval,سياسي,political,slogan,political|slogan,کامنت سیاسی خنثی تا منفی
56,این مملکت دیگه مملکت نیست.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
57,اوضاع مملکت از هر سفارشی مهم‌تره.,disapproval,سياسي,political,direct,political|direct,کامنت سیاسی خنثی تا منفی
58,دولت مردم را فراموش کرده.,disapproval,سياسي,political,government,political|government,کامنت سیاسی خنثی تا منفی
59,مسئولان فقط برای دوربین حرف می‌زنند.,disapproval,سياسي,political,officials,political|officials,کامنت سیاسی خنثی تا منفی
60,با این وضع اقتصادی امید نداریم.,disapproval,سياسي,political,economy,political|economy,کامنت سیاسی خنثی تا منفی
61,غذا خوب بود ولی اوضاع کشور اصلاً خوب نیست.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
62,کیفیت غذا بد نیست اما گرانی همه چیز را خراب کرده است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
63,این غذا از وضعیت مملکت بهتر است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
64,با این تورم دیگر سفارش غذا صرف نمی‌کند.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
65,غذا خوشمزه بود ولی مشکلات اقتصادی اجازه لذت بردن نمی‌دهد.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
66,کیفیت غذا خوب است اما دولت باید فکری به حال گرانی بکند.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
67,سفارش عالی بود، کاش بقیه شرایط هم همین‌قدر خوب بود.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
68,قیمت غذا مثل بقیه چیزها هر روز بیشتر می‌شود.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
69,این سفارش من را یاد وضعیت نابسامان کشور انداخت.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
70,غذا خوب بود اما مردم زیر فشار اقتصادی هستند.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
71,غذا عالی بود اما وضعیت کشور از این هم بدتر است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
72,پیتزا خوشمزه بود ولی تورم اجازه سفارش دوباره نمی‌دهد.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
73,کیفیت رستوران خوب است ولی مسئولان به فکر مردم نیستند.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
74,غذا گرم رسید اما گرمای تورم بیشتر است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
75,سفارش بی‌نقص بود؛ کاش مدیریت کشور هم همین‌طور بود.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
76,غذا متوسط بود، مثل عملکرد دولت.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
77,این برگر از وضعیت مملکت قابل‌اعتمادتر است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
78,خوشمزه بود ولی مرگ بر گرانی.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
79,غذا خوب، اوضاع کشور بد.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
80,کیفیت عالی؛ افسوس که قدرت خرید مردم رفته.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
81,ساندویچ خوب بود اما سیاست کشور همه چیز را تلخ کرده.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
82,غذا راضی‌کننده بود ولی مجلس به فکر معیشت نیست.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
83,با این قیمت‌های دولتی دیگر رستوران لوکس شده.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
84,غذا بد نبود ولی وضع اقتصادی افتضاح است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
85,سفارش عالی بود اما مردم نان شب ندارند.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
86,کیفیت غذا خوب است اما فساد همه جا را گرفته.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
87,این غذا مثل وعده‌های مسئولان ظاهرش قشنگ است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
88,غذا رسید، امید به کشور نرسید.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
89,پیتزا عالی بود ولی زن زندگی آزادی را فراموش نکنید.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
90,غذا خوب بود؛ دولت بد عمل کرده.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
91,بسته‌بندی مرتب بود، وضعیت کشور نامرتب.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
92,طعم غذا خوب، طعم زندگی در این مملکت تلخ.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
93,غذا قابل قبول بود اما تورم غیرقابل قبول است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
94,سفارش را دوست داشتم ولی از اوضاع مملکت ناامیدم.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
95,کیفیت رستوران بهتر از کیفیت مدیریت کشور است.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
96,غذا خوشمزه بود اما تحریم‌ها همه چیز را گران کرده.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
97,برگر خوب بود؛ مسئولین فقط وعده می‌دهند.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
98,این سفارش خوب بود ولی مردم دیگر توان خرید ندارند.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
99,غذا عالی، سیاست کشور افتضاح.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
100,رستوران خوب کار کرد؛ کاش دولت هم همین‌طور بود.,disapproval,سياسي,political_mixed,food_plus_political,political|mixed|override_priority,اولویت سیاسی بر تحسین غذا
101,آقازاده‌ها سیرند، مردم دنبال یک پرس غذا.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
102,این بالاسری‌ها فقط بلدند وعده بدهند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
103,حضرات هنوز نمی‌دانند مردم با چه سختی غذا می‌خرند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
104,اربابان قدرت سفره‌شان رنگین است، مال ما خالی.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
105,این آقایان مسئول فقط در تلویزیون دلسوزند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
106,باند تصمیم‌گیر کشور مردم را فراموش کرده.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
107,این جماعت مدیر فقط شعار بلدند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
108,نوچه‌های قدرت گرانی را نمی‌بینند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
109,آقاجون‌های بالا بالا هنوز از تورم حرف می‌زنند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
110,این حضرات هنوز در برج عاج‌اند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
111,مدیران پوشالی وضع مملکت را خراب کرده‌اند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
112,این آقا بالاسرها فقط بلدند دستور بدهند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
113,کلان‌مدیران کشور سفره مردم را کوچک کرده‌اند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
114,این بچه پولدارهای سیاسی حال مردم را ندارند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
115,اربابان اقتصاد فقط برای خودشان کار می‌کنند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
116,این حضرات وعده‌فروش خسته‌مان کرده‌اند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
117,رئیس‌های کاغذی کشور را به اینجا رساندند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
118,این آقازاده سیستم فقط بلده عکس یادگاری.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
119,بالادستی‌ها تورم را شوخی گرفته‌اند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
120,این آقایان محترم هنوز گرانی را حس نکرده‌اند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
121,نوکرصفتان قدرت جواب مردم را نمی‌دهند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
122,این جماعت تصمیم‌گیر فقط بلدند تقصیر را بیندازند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
123,خداوکیلی این مسئول‌نماها کی جوابگو می‌شوند؟,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
124,این آقا زاده مملکت مردم را له کرده.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
125,حضرات هنوز فکر می‌کنند مردم سیرند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
126,این مدیران نمایشی وضع کشور را خراب کردند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
127,آقایان بالای هرم فقط شعار معیشت می‌دهند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
128,این طایفه قدرت‌طلب حال مردم را ندارند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
129,اربابان بازار و سیاست با هم مردم را فشار می‌دهند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
130,این حضرات هنوز از واقعیت جامعه بی‌خبرند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
131,بالاسری‌های مملکت فقط وعده کنترل قیمت می‌دهند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
132,این آقایان شعاری دیگر خریدار ندارند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
133,آقازاده‌سالاری سفره مردم را خالی کرده.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
134,این باند مدیریتی کشور را به بن‌بست برده.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
135,حضرات هنوز نمی‌فهمند مردم نان شب ندارند.,disapproval,سياسي,political,epithet,political|epithet|nickname|creative_iranian,لقب‌دهی خلاقانه ایرانی به مسئولان/نظام
136,غذا خیلی بی‌کیفیت بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
137,اصلاً ارزش خرید نداشت.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
138,حجم غذا خیلی کم بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
139,غذا سرد به دستم رسید.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
140,سفارش با تأخیر زیاد رسید.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
141,بسته‌بندی خیلی بد بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
142,غذا کاملاً سوخته بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
143,کیفیت نسبت به قبل افت کرده است.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
144,اصلاً راضی نبودم.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
145,تجربه بسیار بدی بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
146,طعم غذا خیلی ضعیف بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
147,برنج خشک و بی‌مزه بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
148,گوشت سفت و غیرقابل جویدن بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
149,سوپ آبکی و بی‌رمق بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
150,پیتزا خمیر خام داشت.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
151,مرغ کاملاً خشک شده بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
152,سس خیلی کم ریخته بودند.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
153,سفارش ناقص آمد.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
154,قیمت این رستوران نسبت به کیفیتش بالاست.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
155,دیگر از اینجا سفارش نمی‌دهم.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
156,کیفیت با عکس منو یکی نبود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
157,غذا بیش از حد شور بود و غیرقابل خوردن.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
158,بسته‌بندی روغن پس داده بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
159,غذا دیر و سرد رسید، کیفیت هم پایین بود.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
160,حجم پرس نسبت به قیمت خیلی کم است.,disapproval,انتقاد_و_پیشنهاد,non_political_negative,food_quality,non_political|criticism|class_separation,منفی غیرسیاسی برای تفکیک از سياسي
161,غذا افتضاح بود.,disapproval,استفاده_از_کلمات_نامناسب,non_political_negative,offensive,non_political|offensive|class_separation,توهین/کلمه نامناسب غیرسیاسی
162,مزخرف‌ترین سفارشی که گرفتم.,disapproval,استفاده_از_کلمات_نامناسب,non_political_negative,offensive,non_political|offensive|class_separation,توهین/کلمه نامناسب غیرسیاسی
163,آشغال مطلق بود این غذا.,disapproval,استفاده_از_کلمات_نامناسب,non_political_negative,offensive,non_political|offensive|class_separation,توهین/کلمه نامناسب غیرسیاسی
164,افتضاح‌تر از این نمی‌شد.,disapproval,استفاده_از_کلمات_نامناسب,non_political_negative,offensive,non_political|offensive|class_separation,توهین/کلمه نامناسب غیرسیاسی
165,غذا گند بود واقعاً.,disapproval,استفاده_از_کلمات_نامناسب,non_political_negative,offensive,non_political|offensive|class_separation,توهین/کلمه نامناسب غیرسیاسی
166,داخل غذا مو پیدا کردم.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
167,غذا بوی بدی می‌داد.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
168,بعد از خوردن غذا دل‌درد گرفتم.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
169,مو داخل سوپ بود.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
170,حشره داخل سالاد دیدم.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
171,غذا بوی گندیدگی می‌داد.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
172,دستکش یکبارمصرف داخل ساندویچ بود.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
173,بسته‌بندی کثیف و آلوده بود.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
174,غذا کاملاً خام و غیربهداشتی بود.,disapproval,موارد_بهداشتی,non_political_negative,hygiene,non_political|hygiene|class_separation,بهداشتی غیرسیاسی
